canonical_smiles,pIC50,n_measurements,pIC50_std
C=C(c1ccc(OC)c(/C=C/C(=O)NO)c1)c1cc(OC)c(OC)c(OC)c1,4.823908740944319,2,0.0
C=C(c1ccc(OC)c(OC(C)C(=O)NO)c1)c1cc(C)nc2ccccc12,5.329568590639394,1,
C=C(c1ccc(OC)c(OC(F)C(=O)NO)c1)c1cc(C)nc2ccccc12,6.338187314462739,1,
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)CNC(=O)c4ccc(C(=O)NO)cc4)C(=C)[C@@H]3C[C@H]12,7.055517327849831,1,
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)CNC(=O)c4cccc(/C=C/C(=O)NO)c4)C(=C)[C@@H]3C[C@H]12,7.346787486224656,1,
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)[C@@H](C)NC(=O)c4ccc(/C=C/C(=O)NO)cc4)C(=C)[C@@H]3C[C@H]12,7.1938200260161125,1,
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)[C@@H](C)NC(=O)c4ccc(C(=O)NO)cc4)C(=C)[C@@H]3C[C@H]12,6.787812395596042,1,
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)[C@@H](C)NC(=O)c4cccc(/C=C/C(=O)NO)c4)C(=C)[C@@H]3C[C@H]12,7.060480747381382,1,
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)[C@H](C)NC(=O)c4ccc(/C=C/C(=O)NO)cc4)C(=C)[C@@H]3C[C@H]12,8.113509274827518,1,
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)[C@H](C)NC(=O)c4ccc(C(=O)NO)cc4)C(=C)[C@@H]3C[C@H]12,6.573488738635424,1,
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)[C@H](C)NC(=O)c4cccc(/C=C/C(=O)NO)c4)C(=C)[C@@H]3C[C@H]12,7.207608310501746,1,
C=CCC(/C=C/c1ccccc1)n1cc(/C=C/C(=O)NO)nn1,7.045757490560675,1,
C=CCC(CCCCCC(=O)Nc1ccccc1)C(=O)NO,3.8416375079047507,1,
C=CCCC(=O)NCCCCN1CCc2nc(C(=O)NO)sc2C1,4.606424796730413,1,
C=CCCC(=O)NCCCN1CCc2nc(C(=O)NO)sc2C1,4.231583911783669,1,
C=CCCC(=O)Nc1ccc(C(=O)N2CCc3nc(C(=O)NO)sc3C2)cc1,6.4089353929735005,1,
C=CCCC(=O)Nc1ccc(C(C)N2CCc3nc(C(=O)NO)sc3C2)cn1,4.8696662315049934,1,
C=CCCCNc1cc(/C=C/C(=O)NO)ccc1SCCN(CC)CC,6.508638306165727,1,
C=CCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1,9.602059991327963,1,
C=CCN1CCC=C(CCC(=O)NO)C1=O,5.369572124974976,2,0.0
C=CCN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,9.012333735073726,1,
C=CCNc1cc(/C=C/C(=O)NO)ccc1SCCN(CC)CC,6.455931955649724,1,
C=CCn1c(SCCCCCC(=O)NO)nnc1-c1ccncc1,3.540667835107996,1,
C=CCn1c(SCCCCCC(=O)Nc2ccccc2N)nnc1-c1ccncc1,5.009217308196862,1,
C=CCn1c(SCc2ccc(C(=O)NO)cc2)nnc1-c1ccncc1,5.006123085058789,1,
C=CCn1c(SCc2ccc(C(=O)Nc3ccccc3N)cc2)nnc1-c1ccncc1,5.001740661576301,1,
C=C[C@@]1(C)CC[C@H](C(=C)CN2CCN(C(=O)CCCCCCC(=O)NO)CC2)C[C@@H]1C(=C)Cn1cccn1,8.045757490560675,1,
C=C[C@]1(C)CC[C@@H](C(=C)Cn2cccn2)C[C@H]1C(=C)CN1CCN(C(=O)CCCCCCC(=O)NO)CC1,7.853871964321762,1,
C=Cc1sc(-c2nccs2)nc1C(=O)NCCCCC(=O)NO,6.0106589354316595,3,0.6441744609876591
C=Cc1sc(-c2nccs2)nc1C(=O)NCCCNC(=O)CS,6.1598939055432425,1,
C=c1[nH]n(-c2ccc(C(=O)O)cc2)c(=O)c1=Cc1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1,5.154901959985743,1,
CC(/C=C/C(=O)NO)=C\C(C)Sc1ccc(N(C)C)cc1,5.275724130399211,1,
CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,8.237794152827963,90,0.8595728671099375
CC(/C=C/C(=O)NO)=C\[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\C[C@@H](O)C[C@@H](O)C3)CCC[C@]12C,6.236572006437063,1,
CC(/C=C/C(=O)NO)=C\[C@H](C)C(=O)c1ccc(N(C)C)cc1,7.657577319177793,1,
CC(/C=C/C(=O)NO)=C\c1ccc(Cl)cc1,6.51999305704285,1,
CC(/C=C/C(=O)NO)=C\c1ccc(N(C)C)cc1,6.103473782510445,1,
CC(/C=C/C(=O)NO)=C\c1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,7.309803919971486,1,
CC(/C=C/C(=O)NO)=C\c1ccc(NS(=O)(=O)c2ccc(N(CCCl)CCCl)cc2)cc1,6.319664486585436,1,
CC(/C=C/C(=O)NO)=C\c1ccc(NS(=O)(=O)c2ccccc2)cc1,6.764471553092451,1,
CC(/C=C/C(=O)NO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,4.626536278367631,1,
CC(/C=C/C(=O)Nc1ccc(C(=O)N[C@@H](CCC(N)=O)C(=O)O)cc1)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,4.699839463048647,1,
CC(/C=C/c1ccccc1)=C\C(=O)NCCCCCC(=O)NO,8.020479303839453,2,0.6158230459614147
CC(/C=C/c1ccccc1)n1cc(/C=C/C(=O)NO)nn1,7.207608310501746,1,
CC(=C/[C@@H](C)C(=O)c1ccc(N(C)C)cc1)/C=C/C(=O)NO,7.301029995663981,1,
CC(=CC(C)C=CC(=O)NO)C(=O)c1ccc(N(C)C)cc1,7.9463425959780105,24,0.9547827282716045
CC(=CC(C)C=CC(=O)O)C(=O)c1ccc(N(C)C)cc1,4.021682503253249,1,
CC(=O)CCCCC[C@H](NC(=O)C1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,7.886056647693163,1,
CC(=O)CCCCC[C@H](NC(=O)C1CCN(C)CC1)c1nc(-c2ccc3ccccc3c2)c[nH]1,8.0,1,
CC(=O)CCCCC[C@H](NC1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,7.886056647693163,1,
CC(=O)N(C)C[C@@H](Nc1ncc(-c2nnc(C(F)F)o2)cn1)c1ccc(F)cc1,6.443697499232712,1,
CC(=O)N(C)C[C@H](Nc1ncc(-c2nnc(C(F)F)o2)cn1)c1ccc(F)cc1,7.031517051446065,1,
CC(=O)N(CC1CCN(c2ncc(C(=O)NO)cn2)CC1)C1(C(=O)NC(C)(C)C)CCNC1,6.1938200260161125,1,
CC(=O)N(CC1CCN(c2ncc(C(=O)NO)cn2)CC1)C1(C(=O)NCCc2c[nH]c3ccccc23)CCNC1,6.455931955649724,1,
CC(=O)N(CC1CCN(c2ncc(C(=O)NO)cn2)CC1)C1(C(=O)NCc2ccccc2)CCNC1,6.3979400086720375,1,
CC(=O)N(CC1CCN(c2ncc(C(=O)NO)cn2)CC1)C1(C(=O)NCc2ccccc2)CCOC1,6.494850021680094,1,
CC(=O)N(C[C@@H](Nc1ncc(-c2nnc(C(F)F)o2)cn1)c1ccc(F)cc1)CC(F)(F)F,6.958607314841775,1,
CC(=O)N(C[C@H](Nc1ncc(-c2nnc(C(F)F)o2)cn1)c1ccc(F)cc1)CC(F)(F)F,6.161150909262744,1,
CC(=O)N(Cc1ccc(C(C)(C)C)cc1)c1ccc(C(=O)NO)cc1,7.1487416512809245,1,
CC(=O)N(Cc1cccc(C(F)(F)F)c1)c1ccc(C(=O)NO)cc1,6.928117992693874,1,
CC(=O)N(Cc1ccco1)c1cccc(-c2cn(Cc3c(F)cc(-c4nnc(C(F)F)o4)cc3F)nn2)c1,7.031517051446065,1,
CC(=O)N(c1ccc(C(=O)N(C)CCCCCCC(=O)NO)cc1)c1c(C)cccc1C,6.939713034397075,2,0.9367000494882087
CC(=O)N(c1ccc(C(=O)NCCCCCCC(=O)NO)cc1)c1c(C)cccc1C,7.180456064458131,2,0.674751349321014
CC(=O)N(c1ccccc1)c1ccc(C(=O)N(C)CCCCCCC(=O)NO)cc1,6.869475678327888,2,0.7952442439620255
CC(=O)N(c1ccccc1)c1ccc(C(=O)NCCCCCCC(=O)NO)cc1,7.848401971289755,2,0.953854201283134
CC(=O)N1CC2(C1)C(=O)N(Cc1ccc(-c3nnc(C(F)F)o3)cn1)C(=O)N2c1ccccc1,6.432973633840939,1,
CC(=O)N1CC2(C1)CN(C(=S)N(Cc1ccc(-c3nnc(C(F)F)o3)cc1F)c1ccc(F)c(F)c1)C2,7.455931955649724,1,
CC(=O)N1CC2(CC(=O)c3cc(/C=C/C(=O)NO)ccc3O2)C1,6.314258261397736,1,
CC(=O)N1CCC(C)(C(=O)N2Cc3c(F)cc(-c4noc(C(F)(F)F)n4)cc3OC[C@@H]2C)CC1,6.455931955649724,1,
CC(=O)N1CCC(CNCc2ccc(-c3noc(C(F)(F)F)n3)cn2)CC1,7.0,1,
CC(=O)N1CCC(Nc2ncc(-c3nnc(C(F)F)o3)cn2)(c2ccc(F)cc2)CC1,6.853871964321762,1,
CC(=O)N1CCC(Nc2ncc(C(=O)NO)cn2)(C(C)C)CC1,8.229147988357855,1,
CC(=O)N1CCC(Nc2ncc(C(=O)NO)cn2)(c2ccccc2)CC1,8.795880017344075,1,
CC(=O)N1CCC(c2ccc3c(c2)C(=O)N(Cc2ccc(-c4nnc(C(F)F)o4)cn2)C(=O)C3(C)C)CC1,7.769551078621726,1,
CC(=O)N1CCC(c2nnn(Cc3ccc(-c4nnc(C(F)F)o4)cc3)n2)CC1,6.403402904373539,1,
CC(=O)N1CCC2(CC(=O)c3cc(/C=C/C(=O)NO)ccc3O2)C1,6.019996628416253,1,
