canonical_smiles,r_i_docking_score,n_measurements
C=CCSC1=NC([O-])=C2C(=NC(=O)C[C@@H]2C(=O)Nc2ccc(OC)cc2OC)N1,-0.949818,1
C=CCSC1=NC([O-])=C2C(=NC(=O)C[C@@H]2c2ccc(OCC(N)=O)c(OC)c2)N1,-6.1779,1
C=CCSC1=NC([O-])=C2C(=NC(=O)C[C@@H]2c2ccc(OCC(N)=O)cc2)N1,-6.5245,1
C=CCSC1=NC([O-])=C2C(=NC(=O)C[C@H]2c2ccc(OCC(N)=O)c(OC)c2)N1,-4.52054,1
C=CCSC1=NC([O-])=C2C(=NC(=O)C[C@H]2c2ccc(OCC(N)=O)c(OCC)c2)N1,-4.59062,1
C=CCSC1=NC([O-])=C2C(=NC(=O)C[C@H]2c2ccc(OCC(N)=O)cc2)N1,-7.89379,1
C=CCSc1n[nH]/c(=N\C(=O)c2nn(-c3ccc(OC)cc3)ccc2=O)s1,-3.49477,1
C=CCSc1nc(=O)c2c([nH]1)NC(=O)C[C@@H]2c1ccc(OCC(N)=O)c(OC)c1,-4.456,1
C=CCSc1nc2c(c(=O)[n-]1)[C@@H](c1ccc(OCC(N)=O)c(OC)c1)CC(=O)N2,-6.04145,1
C=CCSc1nc2c(c(=O)[n-]1)[C@H](c1ccc(OCC(N)=O)c(OC)c1)CC(=O)N2,-5.36228,1
C=CCSc1nc2c(c(=O)[n-]1)[C@H](c1ccc(OCC(N)=O)c(OCC)c1)CC(=O)N2,-4.55536,1
C=CCSc1nc2c(c(=O)[n-]1)[C@H](c1ccc(OCC(N)=O)cc1)CC(=O)N2,-6.57183,1
C=CCSc1nc2c(c(=O)[nH]1)[C@@H](c1ccc(OCC(N)=O)c(OC)c1)CC(=O)N2,-5.2166,1
C=CCSc1nc2c(c(=O)[nH]1)[C@H](c1ccc(C(=O)OC)cc1)C(C(=O)OC)=C(C)N2,-2.78886,1
C=CCSc1nc2c(c(=O)[nH]1)[C@H](c1ccc(OCC(N)=O)c(OC)c1)CC(=O)N2,-6.877,1
C=CCSc1nc2c(c(=O)[nH]1)[C@H](c1ccc(OCC(N)=O)c(OCC)c1)CC(=O)N2,-6.19974,1
C=CCSc1ncc(Cl)c(C(=O)Nc2ccc(NC(C)=O)cc2)n1,-4.07329,1
C=CCSc1ncc(Cl)c(C(=O)Nc2ccc(OCC)cc2)n1,-5.01724,1
C=CCSc1ncc(Cl)c(C(=O)[N-]c2nnc(C)s2)n1,-4.17009,1
C=CCSc1ncc(Cl)c(C(=O)[N-]c2nnc(CC)s2)n1,-4.78293,1
C=CCSc1ncc(Cl)c(C(=O)[N-]c2nnc(SC)s2)n1,-3.92261,1
C=CCSc1ncc(Cl)c(C(=O)[N-]c2nnc(SCC)s2)n1,-2.90778,1
C=CCSc1nnc(NC(=O)c2nn(-c3ccc(OC)cc3)ccc2=O)s1,-2.44821,1
C=CCSc1nnc(NC(=O)c2nn(-c3ccc(OCC)cc3)ccc2=O)s1,4.80029,1
C=CCSc1nnc2c(n1)O[C@@H](c1ccc(C(=O)OC)cc1)Nc1ccccc1-2,-5.95478,1
C=CCSc1nnc2c(n1)O[C@@H](c1ccc(C(=O)[O-])cc1)Nc1ccc(Br)cc1-2,-3.49879,1
C=CCSc1nnc2c(n1)O[C@@H](c1ccc(C(=O)[O-])cc1)Nc1ccccc1-2,-5.06701,1
C=CCSc1nnc2c(n1)O[C@@H](c1ccc(OC(=O)CC)cc1)Nc1ccccc1-2,-6.05023,1
C=CCSc1nnc2c(n1)O[C@@H](c1ccc(OCC(=O)[O-])cc1)Nc1ccccc1-2,-6.10894,1
C=CCSc1nnc2c(n1)O[C@H](c1ccc(C(=O)[O-])cc1)Nc1ccc(Br)cc1-2,-4.31064,1
C=CCSc1nnc2c(n1)O[C@H](c1ccc(C(=O)[O-])cc1)Nc1ccccc1-2,-3.48011,1
C=CCSc1nnc2c(n1)O[C@H](c1ccc(OC(=O)CC)cc1)Nc1ccccc1-2,-5.79856,1
C=CCSc1nnc2c(n1)O[C@H](c1ccc(OC)cc1)Nc1ccccc1-2,-3.79849,1
C=CCSc1nnc2c(n1)O[C@H](c1ccc(OCC(=O)[O-])cc1)Nc1ccccc1-2,-5.77464,1
C=CCSc1nnc2c(n1)O[C@H](c1ccc([N+](=O)[O-])cc1)Nc1ccccc1-2,-2.73484,1
C=CC[N+]1=C(Nc2ccc(C(=O)OCC)cc2)S[C@@H](C(=O)NC)CC1=O,-1.50893,1
C=CC[N+]1=C(Nc2ccc(C(=O)OCC)cc2)S[C@H](C(=O)Nc2ccc(Cl)cc2)CC1=O,-2.87438,1
C=CC[N+]1=C(Nc2cccc(Cl)c2)S[C@H](C(=O)Nc2ccc(C(=O)OCC)cc2)CC1=O,-1.88383,1
C=CCc1ccc(OCc2[nH]c3ccc(OC)cc3[nH+]2)c(OC)c1,-4.6921,1
C=CCc1ccc(OCc2nc3cc(OC)ccc3[nH]2)c(OC)c1,-5.58188,1
C=CCc1ccc(OCc2nc3ccc(OC)cc3[nH]2)c(OC)c1,-5.28868,1
C=CCn1c(=O)oc2ccc(C(=O)Nc3ccc(OCC)cc3)cc21,-4.18543,1
C=CCn1c(C(=O)NCc2ccc(OC)cc2)cc2cc(S(=O)(=O)N(C)C)ccc21,-6.70328,1
C=CCn1c(CCNC(=O)CCCO)[nH+]c2ccccc21,-1.36995,1
C=CCn1c(CCNC(=O)CCCO)nc2ccccc21,-4.11741,1
C=CCn1c(CCNC(=O)CC[C@H](C)O)[nH+]c2ccccc21,-4.8461,1
C=CCn1c(CCNC(=O)CC[C@H](C)O)nc2ccccc21,-5.17475,1
C=CCn1c(SCC(=O)/N=c2/[nH]nc(C)s2)nnc1-c1cccnc1,-2.82768,1
C=CCn1c(SCC(=O)/N=c2\[nH]nc(CC)s2)nnc1-c1cccnc1,-2.45205,1
C=CCn1c(SCC(=O)Nc2ccc(C(=O)[O-])cc2)nnc1-c1cc2ccccc2o1,-2.68985,1
C=CCn1c(SCC(=O)Nc2ccc(OC(F)(F)F)cc2)nnc1-c1ccncc1,-5.33998,1
C=CCn1c(SCC(=O)Nc2ccc(OC)cc2)nnc1-c1ccc(OC)cc1,-4.36485,1
C=CCn1c(SCC(=O)Nc2ccc(OC)cc2)nnc1-c1cccnc1,-4.90695,1
C=CCn1c(SCC(=O)Nc2cccc([N+](=O)[O-])c2)nnc1-c1cccnc1,-6.36222,1
C=CCn1c(SCC(=O)Nc2ccccc2)nnc1-c1cccnc1,-5.38626,1
C=CCn1c(SCC(=O)Nc2nnc(C)s2)nnc1-c1cccnc1,-2.34207,1
C=CCn1c(SCC(=O)Nc2nnc(CC)s2)nnc1-c1cccnc1,-3.42518,1
C=CCn1c(SCC(=O)[N-]c2nnc(C)s2)nnc1-c1cccnc1,-3.53206,1
C=CCn1c([C@@H](C)NC(=O)c2ccco2)nc2ccccc21,-5.5239,1
C=CCn1c([C@@H]2CC(=O)N(CCOC)C2)[nH+]c2ccccc21,-5.02978,1
C=CCn1c([C@@H]2CC(=O)N(CCOC)C2)nc2ccccc21,-5.90027,1
C=CCn1c([C@H](C)NC(=O)c2ccco2)[nH+]c2ccccc21,-5.40189,1
