canonical_smiles,r_i_docking_score,n_measurements
CC(=O)Nc1ccc(S(=O)(=O)NCc2ccc(C(=O)N[C@@H](C)c3ccccc3)cc2)cc1,-7.58586157479084,1
CC(=O)Nc1ccc(S(=O)(=O)NCc2nc(-c3ccc(C)cc3)no2)cc1,-7.25856715899858,1
CC(=O)Nc1ccc(S(=O)(=O)N[C@@H](C)c2nc(-c3ccc(Cl)cc3)no2)cc1,-7.37377510578265,1
CC(=O)Nc1ccc(S(=O)(=O)N[C@H](C)c2nc(-c3ccccc3)no2)cc1,-7.387534421582178,1
CC(=O)Nc1ccc(S(=O)(=O)N[C@H](C)c2nc(-c3ccccc3C)no2)cc1,-7.916292761764974,1
CC(=O)Nc1ccc(S(=O)(=O)Nc2cc(C)c3nc([N-]C(=O)c4ccccc4)sc3c2)cc1,-4.372293364148302,1
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(-c3ccc(N4CCCCC4)nn3)cc2)cc1,-9.251325230915793,1
CC(=O)Nc1ccc(S(=O)(=O)[N-]c2cc(C)c3nc(NC(C)=O)sc3c2)cc1,-6.641024609594975,1
CC(=O)Nc1ccc2c(c1)nc(CCNC(=O)c1ccccc1)n2C,-8.696962627459227,1
CC(=O)Nc1ccc2nc(NC(C)=O)sc2c1,-9.288295474247214,1
CC(=O)Nc1cccc(C(=O)OCc2cc(=O)n3c4c(sc3n2)CCCC4)c1,-5.299547974727201,1
CC(=O)Nc1cccc(NC(=O)CSc2[nH+]cc(CO)n2Cc2ccc(C)cc2)c1,-6.91726769975501,1
CC(=O)Nc1cccc(NC(=O)CSc2cn(CC(=O)N3CCCC3)c3ccccc23)c1,-6.081611155753374,1
CC(=O)Nc1cccc(NC(=O)Cc2csc(NC(=O)Nc3ccc(Cl)cc3)n2)c1,-6.135419812798403,1
CC(=O)Nc1cccc(OCc2cc(=O)n3nc(C(C)C)sc3n2)c1,-8.465138496504927,1
CC(=O)Nc1cccc(OCc2cc(=O)n3nc(CC(C)C)sc3n2)c1,-8.006166946329593,1
CC(=O)Nc1nc(-c2ccc3c(c2)NC(=O)CO3)cs1,-8.227415414779871,1
CC(=O)Nc1nc(-c2ccc3c(c2)NC(=O)[C@@H](C)O3)cs1,-6.292418329714295,1
CC(=O)Nc1nc(-c2ccc3c(c2)NC(=O)[C@H](C)O3)cs1,-8.121331103852011,1
