canonical_smiles,pIC50,n_measurements,pIC50_std
CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)NCc1ccc(C(=O)NO)cc1.Cl,5.8696662315049934,1,
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,7.142667503568731,1,
CC(C)C[C@H]1CC(=O)NC(C)(C)C(=O)N[C@@H](CCCCCC(=O)O)C(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)N1,6.060480747381382,1,
CC(C)C[C@H]1CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCCC(=O)NO)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1,6.892270102092904,4,0.019597194981603273
CC(C)C[C@H]1CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCCC(=O)NO)C(=O)N[C@@H](Cc2cc3ccccc3[nH]2)C(=O)N1,6.920818753952375,1,
CC(C)C[C@H]1CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCCC(=O)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1,5.638272163982407,2,0.0
CC(C)C[C@H]1CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCCC(N)=O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1,5.568636235841012,1,
CC(C)C[C@H]1CC(=O)N[C@@H](C)C(=O)N[C@@H](CSCC(=O)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1,5.013228265733755,1,
CC(C)C[C@H]1CC(=O)N[C@@H](C)C(=O)N[C@@H](CSCCC(=O)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1,5.2182446253475305,1,
CC(C)C[C@H]1CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCCC(=O)O)C(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)N1,6.2168113089247425,1,
CC(C)C[C@H]1CC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCCCC(=O)O)C(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)N1,6.275724130399211,1,
CC(C)Cc1nc2cc(/C=C/C(=O)NO)ccc2n1CCCO,6.623423042943488,2,0.0
CC(C)Cc1nc2cc(/C=C/C(=O)NO)ccc2n1CCc1ccccc1,6.221125527997261,2,0.0
CC(C)Cc1nc2cc(/C=C/C(=O)NO)ccc2n1CCc1ccccn1,6.630784142589857,2,0.0
CC(C)Cc1nc2cc(/C=C/C(=O)NO)ccc2n1Cc1ccccc1,6.0726296369609765,2,0.0
CC(C)Cc1nc2cc(CCC(=O)NO)ccc2n1CCCO,4.469032318428085,2,0.0
